Ref,Kind,Type,Status,ReceivedDate,ClosedDate,ReceivedHow,ReceivedWhere,Location,Latitude,Longitude,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
060793441c0d07650f179cf506dd9989,General Request,Accumulations (including refuse & litter,Closed,11/11/2019 09:36:00 AM,21/11/2019 12:00:00 AM,Telephone,,"(51.373632714838195, -2.400427137118544)",51.373632714838195,-2.400427137118544,27,86,452,15,1
189baf3feaad5e996c02ded915ef42dd,General Request,Drainage Complaint,Closed,11/11/2019 11:10:00 AM,11/11/2019 12:00:00 AM,Telephone,,"(51.38930628135457, -2.361933194893928)",51.389306281354571,-2.361933194893928,21,59,243,7,1
087c3f37aa94d368074e1c8b8f206930,Noise Request,Noise complaint,Closed,07/10/2019 09:38:00 AM,29/10/2019 12:00:00 AM,Emergency/Out of Hours,Out of hours service,"(51.398630696767746, -2.3892246207355217)",51.398630696767746,-2.389224620735522,20,106,542,5,1
1e50f6e02938a74ac5cde94fcc2c6bc8,Noise Request,Noise complaint,Closed,19/03/2018 11:56:00 AM,13/04/2018 12:00:00 AM,Emergency/Out of Hours,Out of hours service,"(51.37421912168629, -2.3512923121365334)",51.374219121686288,-2.351292312136533,33,111,573,12,1
161377c4e67e26932c1413f68aa4154f,General Request,Rat Complaint,Closed,03/08/2017 03:08:00 PM,09/08/2017 12:00:00 AM,Telephone,Normal Office Hours,"(51.394083559056305, -2.3886442447213985)",51.394083559056305,-2.388644244721398,20,107,551,5,1
1e5a062861a3e2430817a0fb9a364849,General Request,Accumulations (including refuse & litter,Closed,21/09/2015 09:42:00 AM,25/09/2015 01:00:00 PM,Telephone,Normal Office Hours,"(51.41800941343521, -2.499928956371349)",51.418009413435207,-2.499928956371349,24,49,173,1,1
1fafd434db4c7d244194b3e172b4d116,Noise Request,,Closed,19/09/2016 12:43:00 PM,18/10/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.37761251016092, -2.3767723484754613)",51.377612510160922,-2.376772348475461,31,63,347,14,1
20358693ff839d1f1c2bf6ff684c90c3,Noise Request,Noise complaint,Closed,20/08/2015 03:46:00 PM,14/09/2015 12:00:00 AM,,In office,"(51.31189699077484, -2.4247389595690825)",51.311896990774841,-2.424738959569082,15,73,386,22,1
203aeb64f92e07233afeb3126751e396,General Request,Accumulations (including refuse & litter,Closed,07/07/2016 08:51:00 AM,16/11/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.28849592551761, -2.459396439226046)",51.288495925517608,-2.459396439226046,26,99,506,26,1
20bc485d9345fe2310e756338abeb7b3,Noise Request,Noise complaint,Closed,01/03/2017 11:34:00 AM,14/03/2017 12:00:00 AM,Electronic Mail,,"(51.38001029672253, -2.3501639822553537)",51.380010296722531,-2.350163982255354,33,111,562,12,1
20bd816fb3c30b6520676164d46d8077,Noise Request,Noise complaint,Closed,28/11/2015 10:53:00 PM,04/12/2015 12:00:00 AM,Telephone,Out of hours service,"(51.39936366702034, -2.345362531625267)",51.399363667020339,-2.345362531625267,23,56,222,4,1
20c7f4a189e387f1ebb05df519890cda,General Request,Nuisance (excluding noise & pollution),Closed,31/10/2017 01:38:00 PM,22/11/2017 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.38160534806808, -2.359924947520405)",51.381605348068078,-2.359924947520405,35,20,10,7,1
11efa03f4195d9e502638747a9c88d49,Noise Request,Noise complaint,Closed,16/10/2019 01:02:00 PM,24/10/2019 12:00:00 AM,Telephone,,"(51.377944993985764, -2.3583176811741344)",51.377944993985764,-2.358317681174134,35,21,13,7,1
20e69e009ead7589ac86107563ea1479,Noise Request,,Closed,29/09/2016 01:44:00 PM,24/10/2016 12:00:00 AM,Neighbour,In office,"(51.38311679021229, -2.4067327912265997)",51.383116790212291,-2.4067327912266,28,91,477,11,1
2117aec12df04ea82dfe4b5498c4309e,Noise Request,Noise complaint,Closed,20/07/2015 09:05:00 AM,27/07/2015 12:00:00 AM,Emergency/Out of Hours,Normal Office Hours,"(51.4141733159124, -2.317678918813947)",51.4141733159124,-2.317678918813947,1,25,34,10,1
2118533a8150f13113fc0b59e1b7c77d,General Request,Rat Complaint,Closed,28/11/2016 02:13:00 PM,14/12/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.40066553011284, -2.4905345192965465)",51.400665530112839,-2.490534519296546,16,44,151,3,1
21264e92da3edae8b66be98ed2ea4250,General Request,Accumulations (including refuse & litter,Closed,27/07/2016 03:10:00 PM,19/09/2016 12:00:00 AM,,Normal Office Hours,"(51.36124982645179, -2.342731462334053)",51.36124982645179,-2.342731462334053,19,37,114,18,1
9b7e34701867b08a534c5e9d985163ab,Noise Request,Noise complaint,Under Investigation,11/11/2019 12:24:00 PM,,,,"(51.38065252029827, -2.3514892902918176)",51.38065252029827,-2.351489290291818,33,111,562,12,1
00d7c72c63c76bba52635b649eeb3393,Noise Request,Noise complaint,Closed,09/10/2019 12:15:00 PM,15/10/2019 12:00:00 AM,Telephone,Normal Office Hours,"(51.38313536429413, -2.3594200415617363)",51.383135364294127,-2.359420041561736,35,20,11,7,1
1de2146a872a39a2776cdd4a224f3529,General Request,Rat Complaint,Closed,08/10/2019 12:44:00 PM,21/11/2019 12:00:00 AM,Telephone,,"(51.3302626797073, -2.6018613423346766)",51.330262679707303,-2.601861342334677,4,33,89,21,1
1e424f7bd16cc700a4bc7524b40be67c,Noise Request,,Closed,15/07/2019 01:49:00 PM,12/09/2019 12:00:00 AM,Telephone,Normal Office Hours,"(51.28784942381348, -2.4605198348780544)",51.287849423813483,-2.460519834878054,26,99,507,26,1
2128587720b8384773979141deaf4992,Noise Request,Noise complaint,Closed,29/09/2015 11:34:00 AM,29/09/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.38160534806808, -2.359924947520405)",51.381605348068078,-2.359924947520405,35,20,10,7,1
2134968788112affa29540b6960b83f8,Noise Request,Noise complaint,Closed,31/05/2017 09:38:00 AM,15/06/2017 12:00:00 AM,Telephone,Normal Office Hours,"(51.3692777160389, -2.3655173459623673)",51.369277716038901,-2.365517345962367,18,5,252,17,1
2141978ecad1afd0545c1d89e0939827,Noise Request,Noise complaint,Closed,25/07/2016 01:23:00 PM,12/08/2016 12:00:00 AM,Electronic Mail,,"(51.3809123159057, -2.3589196568389235)",51.380912315905697,-2.358919656838924,35,20,12,7,1
218a23d83d14f6fbaf13f2c1a61ce211,Noise Request,Noise complaint,Closed,23/01/2019 10:09:00 AM,06/08/2019 12:00:00 AM,Telephone,In office,"(51.38036170123606, -2.3606457494929476)",51.380361701236062,-2.360645749492948,35,20,12,7,1
219f50810dff51489fe9a47f9c23c51e,General Request,Rat Complaint,Closed,01/12/2016 01:58:00 PM,06/12/2016 12:00:00 AM,,Normal Office Hours,"(51.2917694512501, -2.455327098204621)",51.291769451250097,-2.455327098204621,26,99,521,26,1
21b1629361020189092240fa5b342d89,General Request,Rat Complaint,Closed,23/05/2017 12:27:00 PM,28/06/2017 12:00:00 AM,Telephone,Normal Office Hours,"(51.37863832228212, -2.3929107886416117)",51.378638322282121,-2.392910788641612,28,89,469,11,1
21da15dad0d600467b3fce28dfe278a8,Noise Request,Noise complaint,Closed,18/03/2015 09:38:00 AM,13/04/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.28859335570834, -2.480294091839627)",51.288593355708343,-2.480294091839627,11,11,290,25,1
21da32f9d0a53c6f20d1620334dbde74,Noise Request,Noise complaint,Closed,10/04/2018 09:21:00 AM,08/11/2018 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.27662318704225, -2.477766137843024)",51.276623187042247,-2.477766137843024,25,12,299,27,1
21ea4295c4d2187a2dd898858625125b,General Request,Odour/Fumes,Closed,13/04/2015 12:58:00 PM,12/05/2015 12:00:00 AM,Referral - DOH     (PH only),Normal Office Hours,"(51.36734295581133, -2.5475406321455125)",51.367342955811331,-2.547540632145512,7,74,400,20,1
21f270ea4fba5162dbacc3d92070fda6,General Request,Light pollution,Closed,30/03/2015 06:03:00 PM,10/04/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.300922327176465, -2.421410214949559)",51.300922327176465,-2.421410214949559,15,72,377,22,1
220c5a44e32037c73b95ccf20bb5ca18,General Request,Odour/Fumes,Closed,24/05/2016 09:51:00 AM,15/06/2016 12:00:00 AM,Telephone,,"(51.3827010129063, -2.405230433143506)",51.382701012906303,-2.405230433143506,28,91,477,11,1
2218b97472b225dc7663ac0f5894c6da,General Request,Odour/Fumes,Closed,19/10/2018 02:15:00 PM,07/12/2018 12:00:00 AM,Telephone,Normal Office Hours,"(51.2962447658406, -2.442698474628761)",51.296244765840598,-2.442698474628761,12,77,408,24,1
222266af2796833052733d08f68928a9,Noise Request,,Closed,12/04/2019 02:55:00 PM,16/05/2019 12:00:00 AM,Electronic Mail,,"(51.30206529217132, -2.5008355606836723)",51.302065292171321,-2.500835560683672,13,67,371,23,1
2246879743dc1e898bd7c5caf6ebac3c,Noise Request,Noise complaint,Closed,24/12/2018 09:48:00 AM,18/03/2019 12:00:00 AM,Noise Mobile App,In office,"(51.36086786561307, -2.3856402307471436)",51.360867865613073,-2.385640230747144,30,62,577,19,1
2247ff8122ed87ed4f26cd61f8e733b4,General Request,Rat Complaint,Closed,01/09/2015 11:46:00 AM,06/10/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.365732242122014, -2.392318909771537)",51.365732242122014,-2.392318909771537,27,84,448,15,1
224ad6611143da6bf3802f0fe13ae341,Noise Request,Noise complaint,Closed,21/07/2016 11:49:00 AM,30/08/2016 12:00:00 AM,Telephone,In office,"(51.42024434980799, -2.3965126566502546)",51.420244349807987,-2.396512656650255,1,25,47,10,1
22950874d7743fcbcfe389b35ed856c9,Noise Request,Noise complaint,Closed,13/09/2019 10:49:00 AM,15/10/2019 12:00:00 AM,Telephone,Normal Office Hours,"(51.38084350757718, -2.360747735185063)",51.380843507577183,-2.360747735185063,35,20,12,7,1
22a4c73264036a63acd62733136949da,Noise Request,Noise complaint,Closed,06/03/2019 01:52:00 PM,14/03/2019 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.37198951305266, -2.3861930729510807)",51.371989513052661,-2.386193072951081,32,104,537,13,1
22afcc8333cbf45cc8a28cc578286f91,General Request,Drainage Complaint,Closed,09/12/2015 09:54:00 AM,28/01/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.37863832228212, -2.3929107886416117)",51.378638322282121,-2.392910788641612,28,89,469,11,1
22df70f09b1042f51b960ac103ed437c,Noise Request,Noise complaint,Closed,20/07/2015 10:04:00 AM,14/09/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.31325443594088, -2.536785309686563)",51.313254435940877,-2.536785309686563,2,7,268,20,1
2300ad5968fc93458bc07e19917d8d31,Noise Request,,Closed,12/10/2017 12:44:00 PM,04/12/2017 12:00:00 AM,Telephone,Normal Office Hours,"(51.40691553609065, -2.5127320435235196)",51.406915536090651,-2.51273204352352,37,51,176,2,1
230f8a2fd109f9769bc2ccb7951abc36,Noise Request,Noise complaint,Closed,14/01/2015 09:55:00 AM,14/01/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.38910667652701, -2.3588928634722497)",51.389106676527007,-2.35889286347225,35,22,15,7,1
23128098e4fe79985918ffed219d893e,Noise Request,Noise complaint,Closed,20/07/2015 09:42:00 AM,13/08/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.41912489336682, -2.5000000673015212)",51.419124893366821,-2.500000067301521,24,49,173,1,1
232c605f8a364eaed80144a9f23d0922,General Request,Bonfires,Closed,06/12/2018 11:13:00 AM,06/12/2018 12:00:00 AM,Telephone,Normal Office Hours,"(51.39117141502231, -2.3961428264558027)",51.391171415022313,-2.396142826455803,29,18,314,8,1
2352eec65ef6aa958b772b7e16c429b7,General Request,Bonfires,Closed,10/09/2018 03:15:00 PM,10/09/2018 12:00:00 AM,Telephone,In office,"(51.38215012630953, -2.358142936718148)",51.382150126309533,-2.358142936718148,35,20,12,7,1
2364b2286887a5be63ea37d1402f7f16,Noise Request,Noise complaint,Closed,05/02/2018 08:20:00 AM,22/02/2018 12:00:00 AM,Telephone,In office,"(51.42008365857417, -2.497712487844979)",51.420083658574171,-2.497712487844979,24,49,172,1,1
2368545fe95d7fa518985c0890c7e036,Noise Request,Noise complaint,Closed,01/02/2019 10:12:00 AM,12/02/2019 12:00:00 AM,Telephone,Normal Office Hours,"(51.36945110743244, -2.397817600219834)",51.36945110743244,-2.397817600219834,27,84,444,15,1
236e30ee2254614c9c887ddc198d429d,Noise Request,Noise complaint,Closed,08/01/2016 03:23:00 PM,01/02/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.285384311331185, -2.492094651404733)",51.285384311331185,-2.492094651404733,25,14,303,27,1
237fca2725952728411faa33fe87252a,Noise Request,Noise complaint,Closed,22/05/2017 09:09:00 AM,31/05/2017 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.4064223379182, -2.5033249865973226)",51.406422337918201,-2.503324986597323,37,53,189,2,1
239f92a8ec3b89121453a37831664531,Noise Request,,Closed,01/07/2016 01:18:00 PM,22/07/2016 12:00:00 AM,Neighbour,In office,"(51.31240418489356, -2.4281104775951126)",51.312404184893559,-2.428110477595113,15,73,385,22,1
23c4e6f17e814b4d824064561722eaa7,Noise Request,Noise complaint,Closed,24/08/2016 02:44:00 PM,25/08/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.38313536429413, -2.3594200415617363)",51.383135364294127,-2.359420041561736,35,20,11,7,1
23cfdda7304149aa2d7531938e326779,Noise Request,Noise complaint,Closed,09/11/2016 04:30:00 PM,12/12/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.40581152339691, -2.51538657811842)",51.405811523396913,-2.51538657811842,37,51,177,2,1
23cfe8ac14058ce51198a178ddfe2320,Noise Request,Noise complaint,Closed,11/10/2015 11:36:00 PM,14/12/2015 12:00:00 AM,Emergency/Out of Hours,In office,"(51.38925470541854, -2.3878748525510036)",51.389254705418537,-2.387874852551004,29,16,316,8,1
23d86c1725522a8cd3d88e95a6057fea,Noise Request,,Closed,23/04/2019 02:04:00 PM,12/06/2019 12:00:00 AM,Noise Mobile App,Normal Office Hours,"(51.40747363468658, -2.50830209307128)",51.407473634686582,-2.50830209307128,37,53,187,2,1
245459333e2836377a91b95cde436ec6,General Request,Light pollution,Closed,29/06/2016 11:45:00 AM,21/07/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.38204158462894, -2.3862137528641743)",51.382041584628936,-2.386213752864174,32,103,578,13,1
245d2549014aa9bf5f9342c4825b0185,General Request,Drainage Complaint,Closed,15/01/2019 05:00:00 PM,06/02/2019 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.35091260176158, -2.360603540555192)",51.350912601761578,-2.360603540555192,10,113,59,10,1
246a043626640882bc7ca2241efeff2e,Noise Request,Noise complaint,Closed,13/03/2018 10:03:00 AM,03/04/2018 12:00:00 AM,Emergency/Out of Hours,Normal Office Hours,"(51.38059094931968, -2.3758469789551637)",51.380590949319682,-2.375846978955164,33,112,560,12,1
248a8f56c68d76952f7d07a042f33870,Noise Request,Noise complaint,Closed,10/05/2019 12:02:00 PM,16/05/2019 12:00:00 AM,Telephone,Normal Office Hours,"(51.385993640003335, -2.359468155373034)",51.385993640003335,-2.359468155373034,35,20,11,7,1
248d1662e7f9225e5ec46e3cbc714583,Noise Request,Noise complaint,Closed,15/05/2015 08:53:00 AM,15/05/2015 12:00:00 AM,Emergency/Out of Hours,Out of hours service,"(51.373632714838195, -2.400427137118544)",51.373632714838195,-2.400427137118544,27,86,452,15,1
24a04e97c8e5c012830ac1313608da63,General Request,Rat Complaint,Closed,21/04/2017 08:30:00 AM,12/07/2017 12:00:00 AM,Telephone,Normal Office Hours,"(51.377806621180824, -2.364952029768889)",51.377806621180824,-2.364952029768889,33,109,561,12,1
24a7e7e51a32d70375ed12a3010b76d1,Noise Request,Noise complaint,Closed,21/10/2015 07:53:00 AM,10/12/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.38914846378517, -2.358605304022274)",51.389148463785169,-2.358605304022274,35,22,15,7,1
251b0c7871c487c9540556234236f610,General Request,Rat Complaint,Resolution Target Passed,23/07/2018 03:06:00 PM,,Telephone,Normal Office Hours,"(51.388408445364504, -2.439797085287391)",51.388408445364504,-2.439797085287391,8,41,125,16,1
251b6bb2b1b49e02b4446b8e717094a2,Noise Request,Noise complaint,Closed,06/08/2019 09:54:00 AM,12/09/2019 12:00:00 AM,Telephone,,"(51.38671508663766, -2.397880309537497)",51.386715086637658,-2.397880309537497,29,17,317,8,1
2541fa4bbd956a4b7b44915ecdc201a8,General Request,Rat Complaint,Closed,14/05/2019 04:47:00 PM,07/06/2019 12:00:00 AM,Officer/Member of staff,Normal Office Hours,"(51.38432442358081, -2.3633866334765066)",51.384324423580807,-2.363386633476507,35,55,193,9,1
2543bef03d0c6ae7901fe0b22cf681de,General Request,Light pollution,Closed,27/05/2016 10:12:00 AM,22/06/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.30757536085951, -2.500376835807703)",51.307575360859509,-2.500376835807703,13,68,362,23,1
2545b4e5a83e7ffdadacc1062fe3bbac,General Request,Accumulations (including refuse & litter,Closed,13/04/2015 03:35:00 PM,05/05/2015 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.38108949026754, -2.39660366392317)",51.381089490267541,-2.39660366392317,28,92,479,11,1
255445db7a05d4b906374021fb4b362f,Noise Request,Noise complaint,Closed,06/11/2017 08:49:00 AM,30/11/2017 12:00:00 AM,Emergency/Out of Hours,Out of hours service,"(51.380131731767115, -2.394039631715967)",51.380131731767115,-2.394039631715967,28,92,482,11,1
25823c48d23205c965d2dec0cef141f8,Noise Request,Noise complaint,Closed,31/05/2016 10:56:00 AM,31/05/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.38425183670525, -2.357724573930878)",51.384251836705253,-2.357724573930878,35,20,6,7,1
258e6e1cfef0a7cd7916a5f48c1f9f45,Noise Request,Noise complaint,Closed,18/11/2015 08:00:00 AM,29/12/2015 12:00:00 AM,Emergency/Out of Hours,In office,"(51.39743453380492, -2.353326704533)",51.397434533804919,-2.353326704533,36,93,500,6,1
25b10134d93277f1d954e135fb06172a,General Request,General (non-noise) complaint,Closed,17/08/2015 02:11:00 PM,17/08/2015 12:00:00 AM,Telephone,In office,"(51.39117141502231, -2.3961428264558027)",51.391171415022313,-2.396142826455803,29,18,314,8,1
25b78e8872200752183e68c5549e8ea0,Noise Request,Noise complaint,Closed,19/02/2018 12:40:00 PM,19/02/2018 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.405774238477356, -2.306613836987251)",51.405774238477356,-2.306613836987251,1,26,42,10,1
25c324ffa211c93d326c96688082eeb6,Noise Request,Noise complaint,Closed,04/03/2016 02:13:00 PM,31/03/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.38523709279293, -2.382269133388181)",51.385237092792927,-2.382269133388181,34,54,204,9,1
25c3d33fcc857ad1944013e2c36a3e1d,Noise Request,Noise complaint,Closed,10/01/2018 03:50:00 PM,10/01/2018 12:00:00 AM,Electronic Mail,Normal Office Hours,"(51.39117141502231, -2.3961428264558027)",51.391171415022313,-2.396142826455803,29,18,314,8,1
25ff76886d1f2d1c42730226aa13594b,General Request,Odour/Fumes,Closed,21/06/2018 12:48:00 PM,04/07/2018 12:00:00 AM,Telephone,Normal Office Hours,"(51.33763906095434, -2.3856832021852936)",51.337639060954338,-2.385683202185294,9,28,64,22,1
260712340f434143ea7793ca020689f7,Noise Request,Noise complaint,Closed,28/09/2017 08:17:00 AM,16/10/2017 12:00:00 AM,Electronic Mail,In office,"(51.29310882046769, -2.4927698368580518)",51.293108820467687,-2.492769836858052,11,10,280,25,1
262384290c59f931f33cfa55c09f6a0d,General Request,Bonfires,Closed,08/01/2016 03:00:00 PM,08/01/2016 12:00:00 AM,Telephone,Normal Office Hours,"(51.38671508663766, -2.397880309537497)",51.386715086637658,-2.397880309537497,29,17,317,8,1
