URN,LAESTAB,School name,Post code,Ofsted region,Region,Local authority,Parliamentary constituency,Type of school,Phase of school,Ofsted phase,Dataview phase,Predecessor URN of schools converting to academy,Schools open/closed status,School opening date,Reason for opening,School closing date,Reason for closure,Inspection number,Inspection type,Academic year,Inspection start date,Inspection end date,First published date,Latest published date,Overall effectiveness,Category,Sixth form provision,Early years provision,Pupils' achievement (aggregated),Achievement of pupils,How well do pupils achieve?,Behaviour and safety of pupils,Quality of teaching,Leadership and management,Overall effectiveness of residential experience (aggregated),The effectiveness of the boarding provision (pre Jan 2012),Overall effectiveness of residential experience (post Jan 2012),Outcomes for residential pupils (post Jan 2012),Quality of residential provision and care (post Jan 2012),Residential pupils safety (post Jan 2012),Leadership and management of the residential provision (post Jan 2012),The effectiveness of partnerships in promoting learning and well-being,The school's capacity for sustained improvement,Outcomes for individuals and groups of pupils,Pupils' attainment,The quality of pupils' learning and their progress,Outcomes for children in the Early Years Foundation Stage,The quality of learning for pupils with special educational needs and/or disabilities and their progress,Outcomes for students in the sixth form ,"The extent of pupils' spiritual, moral, social and cultural development",The extent to which pupils adopt healthy lifestyles,The extent to which pupils feel safe,Pupils' attendance,The extent to which pupils contribute to the school and wider community,The extent to which pupils develop workplace and other skills that will contribute to their future economic well-being,The quality of provision in the sixth form,"The extent to which the curriculum meets pupils' needs, including, where relevant, through partnerships","The effectiveness of care, guidance and support",The use of assessment to support learning,The quality of provision in the Early Years Foundation Stage,The effectiveness of leadership and management of the Early Years Foundation Stage,The effectiveness of leadership and management of the sixth form,The effectiveness with which the school promotes equality of opportunity and tackles discrimination,The effectiveness with which the school promotes community cohesion,The effectiveness with which the school deploys resources to achieve value for money,The effectiveness of the governing body in challenging and supporting the school so that weaknesses are tackled decisively...,The effectiveness of safeguarding procedures,The effectiveness of the school's engagement with parents and carers,The leadership and management of teaching and learning,Pilot_Does the school adequately promote the pupils' well-being?,Pilot_Does the school adequately promote community cohesion?,Pilot_Does the school provide value for money?,Inspection number of the previous inspection,Academic year of the previous inspection,Inspection end date of the previous inspection,Previous inspection - Overall effectiveness,Previous inspection - Category,Movement in overall effectiveness since previous inspection,Time between inspections (months)
109152,8003032,St Philip's CofE Primary School,BA2 2BN,South West,South West,Bath and North East Somerset,Bath,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,309900,S5 Inspection,2007/08,15/07/2008,16/07/2008,10/09/2008,10/09/2008,3,,9,2,3,9,3,2,3,3,8,8,8,8,8,8,8,2,3,9,3,3,9,3,9,2,2,2,3,2,3,9,3,3,9,9,9,9,3,9,3,3,Y,9,9,9,9,9,,,,,,No previous inspection,
109329,8004608,Saint Gregory's Catholic College,BA2 8PA,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Secondary,Secondary,Local authority maintained,,Open,,Not applicable,,Not applicable,324951,S5 Inspection,2008/09,24/09/2008,25/09/2008,15/10/2008,15/10/2008,1,,9,9,1,9,1,1,1,1,8,8,8,8,8,8,8,1,1,9,1,1,9,1,9,1,1,1,2,1,1,9,1,1,9,9,9,9,1,1,1,1,Y,9,9,9,9,9,278186,2005/06,16/11/2005,2,,Improved,34
133755,8001101,Lansdown Tuition Centre,BA1 2RH,South West,South West,Bath and North East Somerset,Bath,Pupil Referral Unit,Not applicable,Pupil Referral Unit,Local authority maintained,,Closed,05/08/2002 12:00:00 AM,New Provision,01/09/2010,Closure,328751,S5 Inspection,2008/09,02/10/2008,02/10/2008,13/11/2008,13/11/2008,4,SM,9,9,4,9,4,4,4,4,8,8,8,8,8,8,8,3,4,9,4,4,9,4,9,4,4,4,4,4,4,9,4,4,9,9,9,9,4,4,4,3,Y,9,9,9,9,9,282367,2005/06,22/11/2005,2,,Declined,34
109061,8002237,Bishop Sutton Primary School,BS39 5XD,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,309862,S5 Inspection,2008/09,23/10/2008,23/10/2008,13/11/2008,13/11/2008,3,,9,3,3,9,3,1,3,3,8,8,8,8,8,8,8,2,3,9,3,3,9,3,9,2,2,2,2,2,3,9,2,2,9,9,3,9,3,3,3,3,Y,9,9,9,9,9,,,,,,No previous inspection,
134917,8003448,St Keyna Primary School,BS31 2JP,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,01/09/2007 12:00:00 AM,Result of Amalgamation,,Not applicable,328994,S5 Inspection,2008/09,11/11/2008,12/11/2008,03/12/2008,03/12/2008,2,,9,2,2,9,2,2,2,2,8,8,8,8,8,8,8,2,2,9,3,2,9,2,9,2,2,2,2,2,2,9,2,2,9,9,2,9,2,2,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
109306,8004130,Chew Valley School,BS40 8QB,South West,South West,Bath and North East Somerset,North East Somerset,Foundation School,Secondary,Secondary,Local authority maintained,,Open,,Not applicable,,Not applicable,309956,Section 5 RTI,2008/09,12/11/2008,12/11/2008,02/12/2008,02/12/2008,2,,1,9,2,9,2,1,2,1,8,8,8,8,8,8,8,1,1,9,2,2,9,1,9,1,1,1,2,1,1,1,1,1,9,9,9,1,1,1,2,2,Y,9,9,9,9,9,,,,,,No previous inspection,
133290,8002000,St Martin's Garden Primary School,BA2 2UN,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,01/09/2001 12:00:00 AM,Result of Amalgamation,,Not applicable,328689,Notice to Improve S5 ReInspection,2008/09,18/11/2008,19/11/2008,09/12/2008,09/12/2008,3,,9,3,3,9,3,2,3,3,8,8,8,8,8,8,8,3,3,9,3,3,9,2,9,3,2,3,3,3,3,9,3,3,9,9,3,9,3,3,3,3,Y,9,9,9,9,9,316064,2007/08,25/09/2007,4,NTI,Improved,14
109257,8003421,St Andrew's CofE Primary School,BA1 2SN,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324934,S5 Inspection,2008/09,03/12/2008,04/12/2008,07/01/2009,07/01/2009,2,,9,2,2,9,2,2,2,2,8,8,8,8,8,8,8,2,2,9,3,2,9,2,9,2,2,2,3,2,2,9,2,2,9,9,2,9,2,2,2,2,Y,9,9,9,9,9,278167,2005/06,04/10/2005,2,,remained the same,38
109260,8003424,St John's Catholic Primary School,BA2 3NR,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324935,S5 Inspection,2008/09,14/01/2009,15/01/2009,05/02/2009,05/02/2009,2,,9,2,2,9,2,1,2,2,8,8,8,8,8,8,8,2,2,9,2,2,9,2,9,1,2,1,2,2,2,9,2,2,9,9,2,9,2,3,2,2,Y,9,9,9,9,9,278168,2005/06,04/05/2006,3,,Improved,32
109304,8004131,Broadlands School,BS31 2DY,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Secondary,Secondary,Local authority maintained,,Closed,,Not applicable,30/11/2012,For Academy,324943,S5 Inspection,2008/09,21/01/2009,22/01/2009,02/03/2009,02/03/2009,4,NTI,9,9,4,9,4,3,3,3,8,8,8,8,8,8,8,2,3,9,3,4,9,2,9,3,2,3,3,3,4,9,2,3,9,9,9,9,3,3,4,3,Y,9,9,9,9,9,278179,2005/06,02/03/2006,3,,Declined,35
109256,8003420,Bathwick St Mary Church of England Primary School,BA2 6NN,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324933,Section 5 RTI,2008/09,28/01/2009,28/01/2009,25/02/2009,25/02/2009,1,,9,1,1,9,1,1,1,1,8,8,8,8,8,8,8,1,1,9,1,1,9,1,9,1,1,1,1,1,1,9,1,1,9,9,1,9,1,1,1,1,Y,9,9,9,9,9,278166,2005/06,06/10/2005,1,,remained the same,40
109196,8003093,High Littleton CofE VC Primary School,BS39 6HF,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Closed,,Not applicable,31/07/2014,Academy Converter,324923,Section 5 RTI,2008/09,04/02/2009,04/02/2009,27/02/2009,27/02/2009,2,,9,2,2,9,2,1,2,2,8,8,8,8,8,8,8,2,2,9,2,2,9,2,9,2,2,1,2,2,1,9,2,2,9,9,2,9,2,3,2,2,Y,9,9,9,9,9,278154,2005/06,16/03/2006,2,,remained the same,35
109292,8004107,Hayesfield School Technology College,BA2 3LA,South West,South West,Bath and North East Somerset,Bath,Foundation School,Secondary,Secondary,Local authority maintained,,Closed,,Not applicable,31/07/2011,Academy Converter,324940,Section 5 RTI,2008/09,11/02/2009,11/02/2009,09/03/2009,09/03/2009,1,,1,9,1,9,1,1,1,1,8,8,8,8,8,8,8,1,1,9,2,1,9,1,9,1,2,1,3,1,1,1,1,1,9,9,9,1,1,1,1,1,Y,9,9,9,9,9,285592,2005/06,18/05/2006,2,,Improved,33
109405,8007035,Fosse Way School,BA3 3AL,South West,South West,Bath and North East Somerset,North East Somerset,Foundation Special School,Not applicable,Special,Local authority maintained,,Closed,,Not applicable,31/08/2011,Academy Converter,324954,S5 Inspection,2008/09,04/03/2009,05/03/2009,26/03/2009,26/03/2009,1,,2,1,1,9,1,1,1,1,2,2,9,9,9,9,9,1,1,9,4,1,9,1,9,1,1,1,1,1,1,1,1,1,9,9,1,2,1,1,1,1,Y,9,9,9,9,9,278190,2005/06,16/01/2006,1,,remained the same,38
109190,8003086,East Harptree Church of England VC Primary School,BS40 6BD,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324921,S5 Inspection,2008/09,13/05/2009,13/05/2009,10/06/2009,10/06/2009,2,,9,2,2,9,2,2,2,2,8,8,8,8,8,8,8,2,2,9,2,2,9,2,9,2,2,2,2,2,2,9,2,2,9,9,2,9,2,2,2,3,Y,9,9,9,9,9,278152,2005/06,08/11/2005,2,,remained the same,42
109006,8002159,Oldfield Park Junior School,BA2 2JL,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,405206,S5 Inspection,2012/13,03/10/2012,04/10/2012,25/10/2012,25/10/2012,2,,9,9,2,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,356462,2010/11,21/10/2010,3,,Improved,23
109293,8004108,Culverhay School,BA2 2QL,South West,South West,Bath and North East Somerset,Bath,Community School,Secondary,Secondary,Local authority maintained,,Closed,01/09/1970 12:00:00 AM,New Provision,31/08/2012,For Academy,324941,S5 Inspection,2008/09,13/05/2009,14/05/2009,10/06/2009,10/06/2009,2,,2,9,2,9,2,3,2,2,8,8,8,8,8,8,8,2,2,9,3,2,9,2,9,2,2,2,3,2,2,2,2,2,9,9,9,2,2,2,2,2,Y,9,9,9,9,9,278175,2005/06,18/05/2006,3,,Improved,36
109209,8003106,Ubley Church of England Primary School,BS40 6PJ,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324924,Section 5 RTI,2008/09,14/05/2009,14/05/2009,10/06/2009,10/06/2009,2,,9,3,2,9,2,1,2,2,8,8,8,8,8,8,8,2,2,9,2,2,9,2,9,1,1,1,1,1,2,9,2,2,9,9,3,9,2,3,2,3,Y,9,9,9,9,9,278156,2005/06,08/05/2006,2,,remained the same,36
109195,8003092,Freshford Church of England Primary School,BA2 7WE,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324922,S5 Inspection,2008/09,04/06/2009,04/06/2009,23/06/2009,23/06/2009,2,,9,1,2,9,2,1,2,2,8,8,8,8,8,8,8,2,2,9,2,2,9,2,9,1,1,1,1,1,2,9,1,2,9,9,1,9,2,2,2,2,Y,9,9,9,9,9,278153,2005/06,04/11/2005,2,,remained the same,43
109007,8002160,Twerton Infant School,BA2 1QR,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324878,S5 Inspection,2008/09,04/06/2009,05/06/2009,19/06/2009,19/06/2009,2,,9,1,2,9,2,1,2,2,8,8,8,8,8,8,8,1,2,9,2,2,9,2,9,1,1,1,3,1,1,9,1,1,9,9,1,9,1,1,1,3,Y,9,9,9,9,9,278099,2005/06,06/10/2005,3,,Improved,44
109005,8002158,Southdown Community Infant School,BA2 1LG,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324877,S5 Inspection,2008/09,30/06/2009,30/06/2009,20/07/2009,20/07/2009,1,,9,1,1,9,1,1,1,1,8,8,8,8,8,8,8,1,1,9,2,1,9,1,9,2,1,1,2,1,2,9,1,1,9,9,1,9,1,2,1,2,Y,9,9,9,9,9,278098,2005/06,06/10/2005,3,,Improved,45
109000,8002153,Moorlands Junior School,BA2 2DE,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324876,S5 Inspection,2008/09,01/07/2009,02/07/2009,09/09/2009,23/09/2009,4,SM,9,9,4,9,4,2,3,4,8,8,8,8,8,8,8,3,4,9,3,4,9,3,9,2,2,2,2,2,3,9,3,3,9,9,9,9,3,3,4,4,Y,9,9,9,9,9,278096,2005/06,17/11/2005,3,,Declined,43
109107,8002293,Longvernal Primary School,BA3 2LP,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,324899,S5 Inspection,2008/09,07/07/2009,07/07/2009,02/09/2009,02/09/2009,3,,9,3,3,9,3,2,3,3,8,8,8,8,8,8,8,2,3,9,3,3,9,3,9,3,2,2,3,3,3,9,2,3,9,9,3,9,3,3,3,3,Y,9,9,9,9,9,278126,2005/06,03/11/2005,3,,remained the same,44
109236,8003347,Shoscombe CofE Primary School,BA2 8NB,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337249,S5 Inspection,2009/10,06/10/2009,07/10/2009,09/11/2009,09/11/2009,2,,9,2,2,2,9,3,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,9,2,2,2,2,2,2,9,3,2,2,2,3,9,2,2,2,3,2,3,2,9,9,9,288321,2006/07,19/09/2006,3,,Improved,37
134239,8003447,Trinity CofE VC Primary School,BA3 3DE,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Closed,01/09/2005 12:00:00 AM,Result of Amalgamation,31/05/2011,Academy Converter,341444,S5 Inspection,2009/10,14/10/2009,15/10/2009,09/11/2009,09/11/2009,1,,9,1,2,2,9,1,2,1,8,8,8,8,8,8,8,1,1,1,2,2,1,2,9,1,1,1,1,1,1,9,1,1,2,1,1,9,1,2,1,2,2,1,1,9,9,9,294120,2006/07,06/10/2006,3,,Improved,36
108997,8002150,Oldfield Park Infant School,BA2 3RF,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337192,S5 Inspection,2009/10,10/11/2009,11/11/2009,03/12/2009,05/03/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,9,2,1,2,2,1,2,9,2,2,3,2,2,9,2,2,2,2,2,1,2,9,9,9,288246,2006/07,11/10/2006,2,,remained the same,37
109307,8004133,Somervale School,BA3 2JD,South West,South West,Bath and North East Somerset,North East Somerset,Foundation School,Secondary,Secondary,Local authority maintained,,Closed,,Not applicable,30/09/2010,Academy Converter,337270,S5 Inspection,2009/10,11/11/2009,12/11/2009,19/01/2010,05/03/2010,4,NTI,4,9,3,3,9,2,3,3,8,8,8,8,8,8,8,2,2,3,4,3,9,3,3,2,2,2,4,2,3,3,2,4,3,9,9,4,2,3,3,4,4,2,3,9,9,9,288348,2006/07,07/06/2007,2,,Declined,29
109001,8002154,Moorlands Infant School,BA2 2DQ,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337193,S5 Inspection,2009/10,11/11/2009,12/11/2009,03/12/2009,05/03/2010,3,,9,3,3,3,9,2,3,3,8,8,8,8,8,8,8,3,3,3,4,3,3,3,9,2,2,2,3,3,3,9,3,2,3,3,3,9,3,3,3,3,3,2,3,9,9,9,288247,2006/07,12/09/2006,3,,remained the same,38
134238,8003446,St Nicholas CofE Primary,BA3 3QH,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,01/09/2005 12:00:00 AM,Result of Amalgamation,,Not applicable,341443,S5 Inspection,2009/10,25/11/2009,26/11/2009,12/01/2010,05/03/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,3,2,2,2,9,2,1,1,2,2,2,9,2,1,2,2,2,9,2,2,2,2,2,2,2,9,9,9,294119,2006/07,04/10/2006,2,,remained the same,38
109187,8003079,Camerton CofE Primary School,BA2 0PS,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337236,S5 Inspection,2009/10,08/12/2009,09/12/2009,12/01/2010,05/03/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,3,2,2,2,9,2,2,2,3,2,3,9,3,2,2,2,2,9,2,3,2,2,2,2,2,9,9,9,288304,2006/07,03/10/2006,3,,Improved,38
109208,8003105,St Mary's CofE Primary School,BA2 0JR,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337241,S5 Inspection,2009/10,19/01/2010,20/01/2010,10/02/2010,05/03/2010,1,,9,2,2,2,9,1,2,1,8,8,8,8,8,8,8,1,1,1,2,2,2,2,9,1,1,1,1,1,2,9,1,1,2,2,3,9,2,2,2,2,2,1,1,9,9,9,288310,2006/07,10/01/2007,2,,Improved,36
109068,8002246,Pensford Primary School,BS39 4AA,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337207,S5 Inspection,2009/10,21/01/2010,22/01/2010,12/02/2010,12/02/2010,2,,9,2,2,2,9,1,2,2,8,8,8,8,8,8,8,2,2,2,3,2,2,2,9,2,2,2,2,2,2,9,2,2,2,2,2,9,2,3,2,2,1,2,2,9,9,9,288269,2006/07,10/01/2007,3,,Improved,36
109304,8004131,Broadlands School,BS31 2DY,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Secondary,Secondary,Local authority maintained,,Closed,,Not applicable,30/11/2012,For Academy,337269,Notice to Improve S5 ReInspection,2009/10,26/01/2010,27/01/2010,23/02/2010,23/02/2010,3,,9,9,3,3,9,3,3,2,8,8,8,8,8,8,8,2,2,3,3,3,9,3,9,3,2,2,3,3,3,9,2,2,3,9,9,9,3,3,3,2,2,3,2,9,9,9,324943,2008/09,22/01/2009,4,NTI,Improved,12
109328,8004607,St Mark's CofE School,BA1 6ND,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Secondary,Secondary,Local authority maintained,,Open,,Not applicable,,Not applicable,337275,S5 Inspection,2009/10,26/01/2010,27/01/2010,24/02/2010,05/03/2010,2,,9,9,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,3,2,9,2,9,2,2,2,3,2,2,9,2,2,2,9,9,9,2,3,2,2,2,2,2,9,9,9,288356,2006/07,16/11/2006,3,,Improved,38
109060,8002236,Bathampton Primary School,BA2 6TQ,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337206,S5 Inspection,2009/10,08/02/2010,09/02/2010,08/03/2010,08/03/2010,1,,9,1,1,1,9,1,1,1,8,8,8,8,8,8,8,1,1,1,2,1,1,1,9,1,1,1,2,1,1,9,1,1,1,1,1,9,1,2,1,1,1,1,1,9,9,9,288266,2006/07,31/01/2007,2,,Improved,36
109081,8002260,Castle Primary School,BS31 2TS,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337211,S5 Inspection,2009/10,09/02/2010,10/02/2010,10/03/2010,10/03/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,3,2,2,2,9,3,2,2,3,3,3,9,2,2,3,2,2,9,2,3,2,3,2,2,2,9,9,9,288274,2006/07,19/10/2006,3,,Improved,40
109270,8003440,Chew Stoke CofE VA Primary School,BS40 8UY,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Aided School,Primary,Primary,Local authority maintained,,Closed,,Not applicable,31/08/2012,Academy Converter,337256,S5 Inspection,2009/10,11/03/2010,12/03/2010,19/04/2010,19/04/2010,2,,9,2,2,2,9,1,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,9,2,1,2,2,2,2,9,2,2,2,2,2,9,2,3,2,1,2,2,3,9,9,9,278171,2006/07,17/01/2007,2,,remained the same,38
109072,8002250,Westfield Primary School,BA3 3XX,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337208,S5 Inspection,2009/10,16/03/2010,17/03/2010,22/04/2010,26/04/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,3,2,2,2,9,2,2,2,2,2,2,9,2,1,2,2,2,9,2,2,2,2,2,2,2,9,9,9,295363,2006/07,31/01/2007,3,,Improved,38
109004,8002157,Southdown Junior School,BA2 1LG,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Closed,,Not applicable,12/04/2015,Result of Amalgamation/Merger,337194,S5 Inspection,2009/10,18/05/2010,19/05/2010,14/06/2010,14/06/2010,2,,9,9,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,3,2,9,2,9,2,2,2,3,2,3,9,2,2,2,9,9,9,2,3,2,2,2,2,3,9,9,9,298538,2006/07,03/07/2007,3,,Improved,35
109227,8003125,Weston All Saints CofE Primary School,BA1 4JR,South West,South West,Bath and North East Somerset,Bath,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337246,S5 Inspection,2009/10,09/06/2010,10/06/2010,01/07/2010,01/07/2010,1,,9,1,1,1,9,1,2,1,8,8,8,8,8,8,8,1,1,1,1,2,1,1,9,2,2,2,2,1,1,9,1,1,2,2,1,9,1,2,1,2,2,2,1,9,9,9,288318,2006/07,04/05/2007,3,,Improved,37
109073,8002251,Whitchurch Primary School,BS14 0PT,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337209,S5 Inspection,2009/10,29/06/2010,30/06/2010,21/07/2010,21/07/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,9,2,2,1,2,2,2,9,2,1,2,2,2,9,2,2,2,2,2,2,2,9,9,9,288271,2006/07,23/05/2007,2,,remained the same,37
135069,8007036,Three Ways School,BA2 5RF,South West,South West,Bath and North East Somerset,Bath,Community Special School,Not applicable,Special,Local authority maintained,,Closed,01/09/2005 12:00:00 AM,New Provision,31/08/2013,Academy Converter,341608,S5 Inspection,2009/10,30/06/2010,01/07/2010,22/07/2010,22/07/2010,2,,2,2,2,2,9,1,3,2,8,8,8,8,8,8,8,1,2,2,,2,2,2,2,1,2,1,2,2,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,9,9,9,294261,2006/07,25/01/2007,3,,Improved,41
109230,8003128,Combe Down CofE Primary School,BA2 5JQ,South West,South West,Bath and North East Somerset,Bath,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337248,S5 Inspection,2009/10,06/07/2010,07/07/2010,21/09/2010,21/09/2010,4,NTI,9,2,3,3,9,2,3,3,8,8,8,8,8,8,8,3,3,3,2,3,2,3,9,2,1,2,1,2,3,9,3,4,4,2,1,9,3,3,3,4,4,3,3,9,9,9,288320,2006/07,13/02/2007,2,,Declined,41
109079,8002258,Chandag Infants' School,BS31 1PQ,South West,South West,Bath and North East Somerset,North East Somerset,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337210,S5 Inspection,2009/10,07/07/2010,08/07/2010,06/09/2010,06/09/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,1,2,2,2,2,2,2,9,2,1,1,2,1,2,9,1,1,2,2,2,9,2,2,2,1,2,2,2,9,9,9,288273,2006/07,07/03/2007,2,,remained the same,40
109186,8003078,Cameley CofE VC Primary School,BS39 5BD,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,337235,S5 Inspection,2009/10,07/07/2010,08/07/2010,06/09/2010,06/09/2010,1,,9,2,2,2,9,1,2,1,8,8,8,8,8,8,8,1,1,1,2,2,2,2,9,2,1,1,1,1,2,9,1,1,2,2,2,9,1,2,1,2,2,1,1,9,9,9,288303,2006/07,04/07/2007,1,,remained the same,36
109184,8003076,Batheaston CofE Primary School,BA1 7EP,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Controlled School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,363742,S5 Inspection,2010/11,16/09/2010,17/09/2010,12/10/2010,12/10/2010,1,,9,1,1,1,9,1,2,1,8,8,8,8,8,8,8,1,1,1,1,2,1,1,9,1,1,1,2,1,1,9,1,1,2,1,1,9,1,1,1,2,2,1,1,9,9,9,309917,2007/08,24/01/2008,2,,Improved,32
109259,8003423,Widcombe CofE Junior School,BA2 4JG,South West,South West,Bath and North East Somerset,Bath,Voluntary Aided School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,356511,S5 Inspection,2010/11,21/09/2010,22/09/2010,13/10/2010,13/10/2010,1,,9,9,1,1,9,1,2,1,8,8,8,8,8,8,8,1,1,1,1,2,9,2,9,2,1,1,2,1,1,9,1,1,2,9,9,9,1,3,1,2,1,2,1,9,9,9,309943,2007/08,11/09/2007,3,,Improved,36
109271,8003445,St John's CofE Primary School,BA3 2JN,South West,South West,Bath and North East Somerset,North East Somerset,Voluntary Aided School,Primary,Primary,Local authority maintained,,Closed,,Not applicable,30/11/2013,Academy Converter,356513,S5 Inspection,2010/11,12/10/2010,13/10/2010,04/11/2010,05/11/2010,2,,9,2,2,2,9,2,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,3,9,1,1,1,1,2,2,9,1,2,2,2,2,9,2,2,2,2,2,2,2,9,9,9,309947,2007/08,27/11/2007,3,,Improved,35
109006,8002159,Oldfield Park Junior School,BA2 2JL,South West,South West,Bath and North East Somerset,Bath,Community School,Primary,Primary,Local authority maintained,,Open,,Not applicable,,Not applicable,356462,S5 Inspection,2010/11,20/10/2010,21/10/2010,13/11/2010,16/11/2010,3,,9,9,3,3,9,2,3,2,8,8,8,8,8,8,8,2,2,3,3,3,9,3,9,2,2,2,2,3,3,9,3,2,3,9,9,9,3,3,3,3,2,2,2,9,9,9,309852,2007/08,19/06/2008,3,,remained the same,28
