FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Location,Latitude,Longitude,NewRatingPending,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
591346,12/00219/MIXED,Bailbrook House Hotel,Hotel/bed & breakfast/guest house,7842,Eveleigh Avenue,Lower Swainswick,Bath,,BA1 7JD,5,fhrs_5_en-gb,2018/01/31,0,5,0,"(51.401255, -2.334429)",51.401255,-2.334429,false,23,231,4,1,58
955191,17/00064/MIXED,Brigit's Bakery Bath,Restaurant/Cafe/Canteen,1,Brigits Bakery,17 Argyle Street,Bathwick,Bath,BA2 4BQ,3,fhrs_3_en-gb,2019/04/29,10,10,10,"(51.383214, -2.357058)",51.383214,-2.357058,false,35,11,7,1,20
666586,13/00208/MIXED,Cakeaway Cupcakes,Other catering premises,7841,Midford Place,Midford Road,Midford,Bath,BA2 7BX,5,fhrs_5_en-gb,2014/05/21,0,0,0,"(51.345981, -2.350538)",51.345981,-2.350538,false,10,58,10,1,113
205053,15544/0026/A/000,Docky's Delicatessen,Retailers - other,4613,Docky's Delicatessen,26A Church Square,Midsomer Norton,Radstock,BA3 2HX,5,fhrs_5_en-gb,2018/09/18,5,5,5,"(51.286056, -2.485085)",51.286056,-2.485085,false,11,291,25,1,11
204135,14120/0016/0/000,Ladbrokes,Retailers - other,4613,Ladbrokes Racing Ltd,16 Westgate Street,City Centre,Bath,BA1 1EQ,0,fhrs_exempt_en-gb,,,,,"(51.381348, -2.361427)",51.381348,-2.361427,false,35,10,7,1,20
204379,07/00322/FOOD,Bath Central Library,Other catering premises,7841,Bath Central Library 19 The Podium,Northgate Street,City Centre,Bath,BA1 5AL,5,fhrs_5_en-gb,2014/04/09,5,5,0,"(51.383281, -2.358769)",51.383281,-2.358769,false,35,11,7,1,20
204578,08/00013/MIXED,Tesco,Retailers - supermarkets/hypermarkets,7840,Tesco Express,Georges House,Bathwick Hill,Bathwick,BA2 4EN,5,fhrs_5_en-gb,2009/01/05,5,5,5,"(51.382678985596, -2.3493809700012)",51.382678985596,-2.3493809700012,false,22,75,12,1,30
204618,03200/1300/3/C06,Caterpillers Day Nursery,Caring Premises,5,Caterpillar Day Nursery,Royal United Hospital,Lower Weston,Bath,BA1 3NG,5,fhrs_5_en-gb,2014/03/28,5,5,5,"(51.391674, -2.391215)",51.391674,-2.391215,false,29,316,8,1,16
962191,17/00147/MIXED,Sarah Bakes,Restaurant/Cafe/Canteen,1,,,,,BS31,5,fhrs_5_en-gb,2017/08/09,5,5,5,,,,false,,,,,
799586,15/00121/MIXED,Electric Bear Brewing Co,Manufacturers/packers,7839,Unit 12,Maltings Industrial Estate,Newbridge,Bath,BA1 3JL,5,fhrs_5_en-gb,2018/08/01,5,5,5,"(51.383581, -2.396549)",51.383581,-2.396549,false,29,320,8,1,17
941860,17/00019/MIXED,Bath Tapas Revolution,Restaurant/Cafe/Canteen,1,20A St Lawrence Street,City Centre,Bath,,BA1 1AN,5,fhrs_5_en-gb,2017/06/19,0,5,0,"(51.378855, -2.359223)",51.378855,-2.359223,false,35,13,7,1,21
905654,16/00202/MIXED,Khoosoosi,Restaurant/Cafe/Canteen,1,Spring Gardens Road,Bathwick,Bath,,BA2 4PW,3,fhrs_3_en-gb,2016/07/21,10,10,10,"(51.375284, -2.356666)",51.375284,-2.356666,false,33,572,12,1,111
520685,12/00208/MIXED,Number 10 Guest House,Hotel/bed & breakfast/guest house,7842,,,,,BA2 ,0,fhrs_exempt_en-gb,,,,,,,,false,,,,,
1044265,18/00102/MIXED,Nacho Odyssey,Mobile caterer,7846,10 Workshop Lane,Newton St Loe,Bath,,BA2 9BS,5,fhrs_5_en-gb,2019/07/02,5,5,5,"(51.381130218506, -2.4285559654236)",51.381130218506,-2.4285559654236,false,9,68,22,1,28
204454,11/00057/MIXED,Chew Valley Country Farm,Restaurant/Cafe/Canteen,1,Trevessa,Chew Hill,Chew Magna,Bristol,BS40 8SB,5,fhrs_5_en-gb,2018/04/25,5,5,5,"(51.373874, -2.617827)",51.373874,-2.617827,false,6,79,21,1,31
203997,15512/9050/2/000,Radstock Museum Co,Restaurant/Cafe/Canteen,1,Radstock Museum,Waterloo Road,Radstock,Bath And North East Somerset,BA3 3EP,5,fhrs_5_en-gb,2018/08/28,5,5,5,"(51.29307, -2.446494)",51.29307,-2.446494,false,12,415,24,1,76
1106783,19/00049/MIXED,Flo's Cafe,Restaurant/Cafe/Canteen,1,The Virgil Building,Manvers Street,Bath,,BA1 1JW,5,fhrs_5_en-gb,2019/03/27,5,0,5,"(51.378890991211, -2.3565940856934)",51.378890991211,-2.3565940856934,false,35,13,7,1,21
974184,17/00174/FOOD,Andrew Eyles Catering,Other catering premises,7841,2 Redwood Close,Westfield,,,BA3 3EH,5,fhrs_5_en-gb,2019/05/20,5,5,5,"(51.284004211426, -2.4586660861969)",51.284004211426,-2.4586660861969,false,26,518,26,1,98
204172,09150/0014/0/000,La Croissanterie,Takeaway/sandwich shop,7844,14 Northumberland Place,Bath,,,BA1 5AR,5,fhrs_5_en-gb,2018/01/04,5,5,5,"(51.382405, -2.359854)",51.382405,-2.359854,false,35,11,7,1,20
204727,13700/0140/0/000,Moghul Indian Take Away,Takeaway/sandwich shop,7844,140 Walcot Street,City Centre,Bath,,BA1 5BL,2,fhrs_2_en-gb,2019/02/21,10,15,10,"(51.388451, -2.35891)",51.388451,-2.35891,false,35,15,7,1,22
556168,12/00266/MIXED,Callum's Real Coffee,Mobile caterer,7846,Chew Valley Fruit Farm,Bonhill Road,Bishop Sutton,Bristol,BS39 5TS,5,fhrs_5_en-gb,2017/06/01,5,5,5,"(51.337171, -2.593274)",51.337171,-2.593274,false,4,89,21,1,33
204432,09/00145/FOOD,Simi's Kitchen,Other catering premises,7841,,,,,BA2 ,0,fhrs_exempt_en-gb,,,,,,,,false,,,,,
964061,17/00156/MIXED,Hidden Garden Day Nursery,Caring Premises,5,Pows Orchard,Midsomer Norton,,,BA3 2HY,5,fhrs_5_en-gb,2018/11/16,5,5,5,"(51.286544799805, -2.4844300746918)",51.286544799805,-2.4844300746918,false,11,288,25,1,9
204188,11/00093/MIXED,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,Sainsbury's Supermarket,170 Frome Road,Odd Down,Bath,BA2 5RF,5,fhrs_5_en-gb,2019/01/03,5,5,0,"(51.356642, -2.371802)",51.356642,-2.371802,false,18,262,17,1,4
205324,03320/0001/0/000,Oak Tree Day Nursery,Caring Premises,5,Day Nursery,1 Corston Drive,Newton St Loe,Bath,BA2 9BE,5,fhrs_5_en-gb,2018/09/27,0,0,0,"(51.378719329834, -2.4368100166321)",51.378719329834,-2.4368100166321,false,9,68,22,1,28
204449,10/00285/MIXED,Newbridge Towers Residential Care Home,Caring Premises,5,169 Newbridge Hill,Newbridge,Bath,,BA1 3PX,5,fhrs_5_en-gb,2019/06/11,5,5,5,"(51.388265, -2.397021)",51.388265,-2.397021,false,29,315,8,1,16
1067378,18/00232/MIXED,Newbody Kitchen,Takeaway/sandwich shop,7844,6 London Street,Walcot,Bath,,BA1 5BU,4,fhrs_4_en-gb,2018/08/21,5,5,10,"(51.3889, -2.358842)",51.3889,-2.358842,false,35,15,7,1,22
1071469,18/00242/MIXED,St. Saviour's Junior Church School,School/college/university,7845,St Saviours Junior School,Eldon Place,Larkhall,Bath,BA1 6TG,5,fhrs_5_en-gb,2019/06/04,5,5,0,"(51.399616241455, -2.3470530509949)",51.399616241455,-2.3470530509949,false,23,218,4,1,56
204384,09830/3900/2/000,Mrs J Frere,Other catering premises,7841,,,,,BA2 ,5,fhrs_5_en-gb,2014/04/28,5,5,5,,,,false,,,,,
875564,16/00140/MIXED,The Earthy Kitchen,Mobile caterer,7846,,,,,BA1 ,5,fhrs_5_en-gb,2016/05/24,0,0,0,,,,false,,,,,
1086225,18/00333/MIXED,The Scallop Shell (Mobile),Mobile caterer,7846,,,,,BA2 ,5,fhrs_5_en-gb,2018/11/23,5,0,5,,,,false,,,,,
204704,15943/1000/2/000,Chew Stoke Bowling Club,Other catering premises,7841,Wally Court Road,Chew Stoke,Bristol,Bath And North East Somerset,BS40 8XN,5,fhrs_5_en-gb,2018/07/11,,,,"(51.351957, -2.630427)",51.351957,-2.630427,false,6,83,21,1,31
1097361,19/00005/MIXED,Khana,Mobile caterer,7846,,,,,BA1 ,5,fhrs_5_en-gb,2019/01/30,0,5,5,,,,false,,,,,
204827,15708/1200/2/000,Ubley Primary School,School/college/university,7845,The Street,Ubley,Bristol,Bath And North East Somerset,BS40 6PJ,5,fhrs_5_en-gb,2018/01/18,0,5,0,"(51.321393, -2.677264)",51.321393,-2.677264,false,4,93,21,1,32
745429,15/00055/MIXED,Red Lion,Pub/bar/nightclub,7843,High Street,Paulton,Bristol,Bath And North East Somerset,BS39 7NW,5,fhrs_5_en-gb,2018/07/24,5,5,5,"(51.307682, -2.501954)",51.307682,-2.501954,false,13,362,23,1,68
204517,`15770/0068/0/000,Cinnamon Indian Restaurant,Restaurant/Cafe/Canteen,1,Cinnamon Restaurant,68 High Street,Keynsham,Bristol,BS31 1EA,5,fhrs_5_en-gb,2019/03/20,5,5,5,"(51.414565, -2.498307)",51.414565,-2.498307,false,24,158,1,1,49
759185,14/00296/MIXED,Isaac Catering,Mobile caterer,7846,,,,,,5,fhrs_5_en-gb,2015/04/29,5,5,5,,,,false,,,,,
204575,04/00022/FOOD,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,Sainsburys Supermarkets Limited  Gr,Green Park Road,City Centre,Bath,BA1 2DR,5,fhrs_5_en-gb,2017/02/24,5,5,0,"(51.381209, -2.368553)",51.381209,-2.368553,false,34,195,9,1,55
952190,17/00085/MIXED,Aquae Sulis Hotel,Hotel/bed & breakfast/guest house,7842,176 Newbridge Road,Newbridge,Bath,,BA1 3LE,5,fhrs_5_en-gb,2017/03/17,5,5,0,"(51.386947, -2.398289)",51.386947,-2.398289,false,29,317,8,1,17
204319,06/00085/MIXED,Ramscombe Cottage,Hotel/bed & breakfast/guest house,7842,Ramscombe Lane,Batheaston,Bath,Bath And North East Somerset,BA1 8EP,0,fhrs_exempt_en-gb,,,,,"(51.417819, -2.317739)",51.417819,-2.317739,false,1,34,10,1,25
862876,16/00060/MIXED,Friends Forever,Retailers - other,4613,17 St James's Parade,Bath,,,BA1 1UL,1,fhrs_1_en-gb,2018/10/30,15,15,20,"(51.379326, -2.361123)",51.379326,-2.361123,false,35,14,7,1,20
205024,10230/2700/0/000,Bath Bowling Club,Other catering premises,7841,Pulteney Road,Bathwick,Bath,Bath And North East Somerset,BA2 4EZ,5,fhrs_5_en-gb,2017/12/14,5,5,5,"(51.382834, -2.35184)",51.382834,-2.35184,false,35,3,7,1,21
704035,14/00140/MIXED,Swallow Community Cafe,Restaurant/Cafe/Canteen,1,Swallow Community Café,Church Street,Radstock,,BA3 3QG,5,fhrs_5_en-gb,2018/09/12,5,5,5,"(51.290702, -2.447159)",51.290702,-2.447159,false,12,413,24,1,79
914685,16/00195/MIXED,Henry's Restaurant Bath,Restaurant/Cafe/Canteen,1,Henrys Restaurant,4 Saville Row,Lansdown,Bath,BA1 2QP,4,fhrs_4_en-gb,2019/03/14,5,10,5,"(51.386336, -2.36204)",51.386336,-2.36204,false,35,25,7,1,22
949928,17/00070/MIXED,Socarrat,Other catering premises,7841,,,,,BA3 ,5,fhrs_5_en-gb,2018/04/04,5,5,0,,,,false,,,,,
244517,11/00155/MIXED,River Island,Retailers - other,4613,9 Southgate Place,Bath,,,BA1 1AP,0,fhrs_exempt_en-gb,,,,,"(51.37857, -2.358388)",51.37857,-2.358388,false,35,13,7,1,21
1106780,19/00046/FOOD,Farrington Gurney CoE Primary School,School/college/university,7845,Farrington Gurney Ce Vc Primary Sch,Church Lane,Farrington Gurney,Bristol,BS39 6TY,5,fhrs_5_en-gb,2019/07/11,5,5,5,"(51.298537, -2.530555)",51.298537,-2.530555,false,3,131,23,1,43
204231,11600/0042/1/000,Superdrug Stores Plc,Retailers - other,4613,42 Southgate Street,Bath,,,BA1 1TG,0,fhrs_exempt_en-gb,,,,,"(51.379429, -2.359917)",51.379429,-2.359917,false,35,12,7,1,20
204550,00820/0019/0/000,Daily Bread,Manufacturers/packers,7839,Daily Bread Bakers,19 Bath Road,Peasedown St. John,Bath,BA2 8DH,1,fhrs_1_en-gb,2019/03/27,15,15,20,"(51.315041, -2.428629)",51.315041,-2.428629,false,15,378,22,1,73
204398,10050/0007/A/000,Same Same But Different,Restaurant/Cafe/Canteen,1,Same Same But Different,7A Princes Buildings,City Centre,Bath,BA1 2ED,5,fhrs_5_en-gb,2018/09/25,5,5,5,"(51.385242, -2.361285)",51.385242,-2.361285,false,35,4,7,1,22
204542,01190/0007/0/000,The Belmont Guest House,Hotel/bed & breakfast/guest house,7842,The Belmont,7 Belmont,Bath,,BA1 5DZ,5,fhrs_5_en-gb,2015/08/13,5,5,5,"(51.386645, -2.361124)",51.386645,-2.361124,false,35,22,7,1,22
655887,13/00172/MIXED,Starbucks Coffee,Restaurant/Cafe/Canteen,1,Starbucks Unit 1,Westpoint,Avon Street,City Centre,BA1 1UN,5,fhrs_5_en-gb,2018/09/24,0,0,5,"(51.380831, -2.363118)",51.380831,-2.363118,false,34,196,9,1,55
204354,15513/0090/0/000,New Inn,Pub/bar/nightclub,7843,90 Bath Hill,Keynsham,,,BS31 1HN,5,fhrs_5_en-gb,2015/10/16,5,5,5,"(51.412326, -2.49407)",51.412326,-2.49407,false,16,156,3,1,45
741434,15/00051/MIXED,Rose Cottage Hub Cafe,Restaurant/Cafe/Canteen,1,Rose Cottage,43 High Street,Twerton,Bath,BA2 1BD,5,fhrs_5_en-gb,2017/09/13,5,5,5,"(51.37585, -2.388193)",51.37585,-2.388193,false,27,449,15,1,85
204228,15999/0013/0/000,New Lido Chef,Takeaway/sandwich shop,7844,13 Fortescue Road,Radstock,Bath And North East Somerset,,BA3 3PJ,5,fhrs_5_en-gb,2017/05/17,5,5,5,"(51.29224, -2.447303)",51.29224,-2.447303,false,12,413,24,1,79
982686,17/00198/MIXED,Field View Cafe,Mobile caterer,7846,6 Priory Road,Keynsham,Bristol,Bath And North East Somerset,BS31 2BX,5,fhrs_5_en-gb,2017/06/14,5,5,5,"(51.419261932373, -2.4976680278778)",51.419261932373,-2.4976680278778,false,24,172,1,1,49
903905,15/00116/MIXED,Juicy Orange (Mobile Trailer),Mobile caterer,7846,,,,,BA2 ,0,fhrs_exempt_en-gb,,,,,,,,false,,,,,
204892,10340/0006/0/000,The Raven,Pub/bar/nightclub,7843,7 Queen Street,Bath,,,BA1 1HE,5,fhrs_5_en-gb,2019/05/16,5,5,5,"(51.3831419, -2.3620165)",51.3831419,-2.3620165,false,35,11,7,1,20
204117,16637/9311/2/000,A J Wyatt,Retailers - other,4613,Stowey House Farm,The Street,Stowey,Bristol,BS39 5TQ,0,fhrs_exempt_en-gb,,,,,"(51.333392, -2.57745)",51.333392,-2.57745,false,4,91,21,1,33
205200,14870/4100/2/000,Bath Racecourse,Other catering premises,7841,Lansdown Road,Charlcombe,Bath,Bath And North East Somerset,BA1 9BU,5,fhrs_5_en-gb,2017/08/30,0,5,0,"(51.418563842773, -2.4079248905182)",51.418563842773,-2.4079248905182,false,1,47,10,1,25
204746,11/00311/MIXED,Breakfast Club,School/college/university,7845,Midsomer Norton County Primary Scho,High Street,Midsomer Norton,Radstock,BA3 2DR,5,fhrs_5_en-gb,2011/12/29,5,5,5,"(51.286991, -2.480649)",51.286991,-2.480649,false,11,291,25,1,11
1002178,17/00274/MIXED,Travelodge Bath City Centre,Hotel/bed & breakfast/guest house,7842,Bath Spa Travelodge,6 - 10 Westgate Buildings,City Centre,Bath,BA1 1EB,0,fhrs_exempt_en-gb,,,,,"(51.380554199219, -2.3624410629273)",51.380554199219,-2.3624410629273,false,35,14,7,1,20
690486,14/00144/MIXED,HMV Retail Ltd,Retailers - other,4613,H M V Uk Ltd,13 Stall Street,City Centre,Bath,BA1 1QE,0,fhrs_exempt_en-gb,,,,,"(51.380499, -2.359796)",51.380499,-2.359796,false,35,12,7,1,20
204286,05630/1105/0/000,Harington Club,Other catering premises,7841,5 - 6 Harington Place,Bath,,,BA1 1HF,4,fhrs_4_en-gb,2018/03/29,5,10,5,"(51.382784, -2.362501)",51.382784,-2.362501,false,35,11,7,1,20
